SBD,Nam,Tinh,SBD_New,Toan,NguVan,VatLy,HoaHoc,SinhHoc,LichSu,DiaLy,GDCD,NgoaiNgu,MaMonNgoaiNgu,TongDiem,KhoiA,KhoiA1,KhoiB,KhoiC,KhoiD,KHTN,KHXH,KhoiA02,KhoiC01,KhoiD07,TongDiemKHTN,TongDiemKHXH
29039449,25,29,39449,8.2,,7.5,6.75,4.5,,,,,,26.95,22.45,,19.45,,,6.25,,20.2,,,,
29039451,25,29,39451,,5.0,,,,8.0,8.0,,,,21.0,,,,21.0,,,,,,,,
29039452,25,29,39452,5.8,,8.0,8.25,0.75,,,,,,22.8,22.05,,14.8,,,5.67,,14.55,,,,
29039453,25,29,39453,8.0,,7.25,8.5,3.25,,,,,,27.0,23.75,,19.75,,,6.33,,18.5,,,,
29039454,25,29,39454,8.4,,7.5,7.75,2.75,,,,,,26.4,23.65,,18.9,,,6.0,,18.65,,,,
29039455,25,29,39455,6.4,5.0,,,,8.0,7.5,6.5,4.8,N1,38.2,,,,20.5,16.2,,7.33,,,,,38.2
29039456,25,29,39456,7.8,,5.5,8.25,,,,,,,21.55,21.55,,,,,,,,,,,
29039457,25,29,39457,,,,,,5.25,,,1.2,N1,6.45,,,,,,,,,,,,
29039458,25,29,39458,8.2,,7.75,8.75,,,,,,,24.7,24.7,,,,,,,,,,,
29039459,25,29,39459,8.2,,7.25,6.5,,,,,,,21.95,21.95,,,,,,,,,,,
29039460,25,29,39460,,9.0,,,,8.25,7.75,,,,25.0,,,,25.0,,,,,,,,
29039461,25,29,39461,,8.5,,,,9.5,9.25,,,,27.25,,,,27.25,,,,,,,,
29039462,25,29,39462,,8.75,,,,9.25,8.75,,,,26.75,,,,26.75,,,,,,,,
29039463,25,29,39463,,7.5,,,,7.75,10.0,,,,25.25,,,,25.25,,,,,,,,
29039464,25,29,39464,7.6,4.75,,,,7.75,7.0,9.25,3.0,N1,39.35,,,,19.5,15.35,,8.0,,,,,39.35
29039465,25,29,39465,8.6,,7.75,7.5,,,,,,,23.85,23.85,,,,,,,,,,,
29039466,25,29,39466,7.8,,,6.75,7.5,,,,,,22.05,,,22.05,,,,,,,,,
29039468,25,29,39468,8.6,9.0,,,,,,,7.8,N1,25.4,,,,,25.4,,,,,,,
29039469,25,29,39469,,8.75,,,,9.0,10.0,,,,27.75,,,,27.75,,,,,,,,
29039470,25,29,39470,8.4,9.5,,,,,,,5.8,N1,23.7,,,,,23.7,,,,,,,
29039471,25,29,39471,8.4,9.25,,,,,,,5.8,N1,23.45,,,,,23.45,,,,,,,
29039472,25,29,39472,,8.5,,,,9.25,9.0,8.75,,,35.5,,,,26.75,,,9.0,,,,,
29039473,25,29,39473,8.2,,8.0,8.5,,,,,,,24.7,24.7,,,,,,,,,,,
29039474,25,29,39474,7.6,8.75,,,,,,,3.4,N1,19.75,,,,,19.75,,,,,,,
29039475,25,29,39475,,9.0,,,,6.25,6.75,,,,22.0,,,,22.0,,,,,,,,
29039476,25,29,39476,7.8,,8.0,7.0,,,,,,,22.8,22.8,,,,,,,,,,,
29039477,25,29,39477,6.6,5.25,,,,6.75,6.0,7.75,5.8,N1,38.15,,,,18.0,17.65,,6.83,,,,,38.15
29039479,25,29,39479,8.0,,8.75,8.5,2.5,,,,,,27.75,25.25,,19.0,,,6.58,,19.25,,,,
29039480,25,29,39480,7.8,,8.25,6.5,2.0,,,,,,24.55,22.55,,16.3,,,5.58,,18.05,,,,
29039481,25,29,39481,4.2,7.25,,,,,5.0,,,,16.45,,,,,,,,,,,,
29039482,25,29,39482,,6.0,,,,5.75,7.75,,,,19.5,,,,19.5,,,,,,,,
29039483,25,29,39483,,9.5,,,,9.0,10.0,10.0,,,38.5,,,,28.5,,,9.67,,,,,
29039484,25,29,39484,8.0,,8.25,8.5,,,,,,,24.75,24.75,,,,,,,,,,,
29039485,25,29,39485,6.8,7.0,,,,8.5,8.0,8.75,,,39.05,,,,23.5,,,8.42,,,,,
29039486,25,29,39486,8.2,,8.75,8.75,2.5,,,,,,28.2,25.7,,19.45,,,6.67,,19.45,,,,
29039487,25,29,39487,3.0,6.0,,,,3.5,,,2.2,N1,14.7,,,,,11.2,,,,,,,
29039488,25,29,39488,7.4,,7.5,8.5,,,,,,,23.4,23.4,,,,,,,,,,,
29039489,25,29,39489,8.4,,7.25,7.5,1.5,,,,,,24.65,23.15,,17.4,,,5.42,,17.15,,,,
29039490,25,29,39490,8.6,,7.5,8.0,3.75,,,,,,27.85,24.1,,20.35,,,6.42,,19.85,,,,
29039491,25,29,39491,7.8,,2.0,7.0,6.25,,,,,,23.05,16.8,,21.05,,,5.08,,16.05,,,,
29039492,25,29,39492,7.4,6.25,,,,6.75,,,,,20.4,,,,,,,,,,,,
29039493,25,29,39493,7.6,,7.0,5.25,2.5,,,,,,22.35,19.85,,15.35,,,4.92,,17.1,,,,
29039494,25,29,39494,7.4,,7.75,8.0,,,,,,,23.15,23.15,,,,,,,,,,,
29039495,25,29,39495,,9.0,,,,8.5,8.75,,,,26.25,,,,26.25,,,,,,,,
29039496,25,29,39496,,5.0,,,,6.25,5.0,,,,16.25,,,,16.25,,,,,,,,
29039497,25,29,39497,7.6,,6.25,5.25,,,,,,,19.1,19.1,,,,,,,,,,,
29039498,25,29,39498,8.4,8.0,7.5,8.0,5.5,,,,,,37.4,23.9,,21.9,,,7.0,,21.4,23.9,,,
29039499,25,29,39499,5.0,8.75,,,,,,,3.8,N1,17.55,,,,,17.55,,,,,,,
29039500,25,29,39500,8.6,,7.25,7.5,3.25,,,,,,26.6,23.35,,19.35,,,6.0,,19.1,,,,
29039501,25,29,39501,7.6,,7.75,7.25,2.75,,,,,,25.35,22.6,,17.6,,,5.92,,18.1,,,,
29039502,25,29,39502,9.0,,9.5,8.25,2.75,,,,,,29.5,26.75,,20.0,,,6.83,,21.25,,,,
29039503,25,29,39503,7.8,8.0,,,,,,,4.0,N1,19.8,,,,,19.8,,,,,,,
29039504,25,29,39504,9.2,,7.0,6.25,2.0,,,,,,24.45,22.45,,17.45,,,5.08,,18.2,,,,
29039505,25,29,39505,,9.25,,,,9.5,10.0,,,,28.75,,,,28.75,,,,,,,,
29039506,25,29,39506,8.6,,7.25,8.0,3.25,,,,,,27.1,23.85,,19.85,,,6.17,,19.1,,,,
29039507,25,29,39507,7.8,9.5,,,,,,,6.4,N1,23.7,,,,,23.7,,,,,,,
29039508,25,29,39508,8.2,,7.25,6.5,6.25,,,,,,28.2,21.95,,20.95,,,6.67,,21.7,,,,
29039509,25,29,39509,8.4,,7.75,8.25,,,,,,,24.4,24.4,,,,,,,,,,,
29039510,25,29,39510,,8.25,,,,9.5,10.0,,,,27.75,,,,27.75,,,,,,,,
29039511,25,29,39511,,9.25,,,,8.25,8.0,,,,25.5,,,,25.5,,,,,,,,
29039512,25,29,39512,9.0,,8.5,8.5,,,,,,,26.0,26.0,,,,,,,,,,,
29039513,25,29,39513,8.0,8.5,,,,,,,5.0,N1,21.5,,,,,21.5,,,,,,,
29039514,25,29,39514,,7.75,,,,8.5,9.0,,,,25.25,,,,25.25,,,,,,,,
29039515,25,29,39515,9.4,,8.75,7.75,2.75,,,,,,28.65,25.9,,19.9,,,6.42,,20.9,,,,
29039516,25,29,39516,8.8,,8.75,9.25,5.75,,,,,,32.55,26.8,,23.8,,,7.92,,23.3,,,,
29039517,25,29,39517,,6.75,,,,7.0,8.0,7.75,,,29.5,,,,21.75,,,7.58,,,,,
29039518,25,29,39518,8.6,,7.0,6.75,,,,,,,22.35,22.35,,,,,,,,,,,
29039519,25,29,39519,8.2,,,8.75,9.25,,,,,,26.2,,,26.2,,,,,,,,,
29039520,25,29,39520,8.2,,5.5,8.0,3.75,,,,,,25.45,21.7,,19.95,,,5.75,,17.45,,,,
29039523,25,29,39523,7.0,8.25,,,,8.75,,,,,24.0,,,,,,,,,,,,
29039524,25,29,39524,7.4,,6.25,4.5,,,,,,,18.15,18.15,,,,,,,,,,,
29039525,25,29,39525,6.8,9.0,,,,,,,4.0,N1,19.8,,,,,19.8,,,,,,,
29039526,25,29,39526,7.4,9.0,,,,,,,6.2,N1,22.6,,,,,22.6,,,,,,,
29039527,25,29,39527,7.0,8.5,,,,6.75,,,6.4,N1,28.65,,,,,21.9,,,,,,,
29039528,25,29,39528,5.6,,5.0,3.75,,,,,,,14.35,14.35,,,,,,,,,,,
29039529,25,29,39529,,9.25,,,,7.5,8.5,,,,25.25,,,,25.25,,,,,,,,
29039530,25,29,39530,6.8,,6.5,6.75,5.5,,,,,,25.55,20.05,,19.05,,,6.25,,18.8,,,,
29039531,25,29,39531,5.2,,4.0,3.0,,,,,,,12.2,12.2,,,,,,,,,,,
29039532,25,29,39532,6.0,7.5,,6.25,7.0,,,,,,26.75,,,19.25,,,,,,,,,
29039534,25,29,39534,,9.5,,,,7.25,7.75,,,,24.5,,,,24.5,,,,,,,,
29039535,25,29,39535,7.2,,5.0,7.0,4.5,,,,,,23.7,19.2,,18.7,,,5.5,,16.7,,,,
29039536,25,29,39536,7.0,8.75,,,,7.0,9.25,9.0,3.6,N1,44.6,,,,25.0,19.35,,8.42,,,,,44.6
29039537,25,29,39537,,8.0,,,,6.25,7.75,,,,22.0,,,,22.0,,,,,,,,
29039538,25,29,39538,,8.25,,,,6.5,6.0,,,,20.75,,,,20.75,,,,,,,,
29039539,25,29,39539,7.8,9.5,,,,,,,4.2,N1,21.5,,,,,21.5,,,,,,,
29039540,25,29,39540,8.0,8.75,,,,9.0,9.25,,,,35.0,,,,27.0,,,,,,,,
29039541,25,29,39541,,7.25,,,,7.75,9.0,8.75,,,32.75,,,,24.0,,,8.5,,,,,
29039542,25,29,39542,,7.0,,,,,,8.75,,,15.75,,,,,,,,,,,,
29039543,25,29,39543,,8.75,,,,6.75,8.75,9.75,,,34.0,,,,24.25,,,8.42,,,,,
29039544,25,29,39544,6.6,,4.5,6.5,3.5,,,,,,21.1,17.6,,16.6,,,4.83,,14.6,,,,
29039545,25,29,39545,,8.5,,,,7.75,9.0,,,,25.25,,,,25.25,,,,,,,,
29039546,25,29,39546,7.6,9.0,,,,9.0,10.0,,,,35.6,,,,28.0,,,,,,,,
29039547,25,29,39547,,8.5,,,,7.75,9.5,,,,25.75,,,,25.75,,,,,,,,
29039548,25,29,39548,7.8,9.0,5.5,6.5,6.25,,,,,,35.05,19.8,,20.55,,,6.08,,19.55,22.3,,,
29039549,25,29,39549,,9.25,,,,8.5,9.75,9.0,,,36.5,,,,27.5,,,9.08,,,,,
29039550,25,29,39550,7.6,9.25,,,,,,,8.6,N1,25.45,,,,,25.45,,,,,,,
29039551,25,29,39551,8.2,,,7.75,7.5,,,,,,23.45,,,23.45,,,,,,,,,
29039552,25,29,39552,,5.0,,,,7.25,7.75,,,,20.0,,,,20.0,,,,,,,,
29039553,25,29,39553,,7.25,,,,9.0,9.25,,,,25.5,,,,25.5,,,,,,,,
29039554,25,29,39554,4.6,,3.75,5.75,,,,,,,14.1,14.1,,,,,,,,,,,
29039555,25,29,39555,3.0,6.75,,,3.25,,,,,,13.0,,,,,,,,,,,,
29039556,25,29,39556,8.0,,8.25,8.25,4.0,,,,,,28.5,24.5,,20.25,,,6.83,,20.25,,,,
29039557,25,29,39557,8.0,9.5,,,,,,,6.2,N1,23.7,,,,,23.7,,,,,,,
29039558,25,29,39558,9.2,,9.75,4.0,4.0,,,,6.4,N1,33.35,22.95,25.35,17.2,,,5.92,,22.95,,19.6,,
29039559,25,29,39559,7.8,,6.5,,,,,,5.0,N1,19.3,,19.3,,,,,,,,,,
29039560,25,29,39560,6.0,7.75,,,,,8.5,,6.6,N1,28.85,,,,,20.35,,,,,,,
29039561,25,29,39561,,9.5,,,,9.5,9.25,2.5,,,30.75,,,,28.25,,,7.08,,,,,
29039562,25,29,39562,6.0,9.25,,,,7.75,,,4.8,N1,27.8,,,,,20.05,,,,,,,
29039563,25,29,39563,5.2,9.25,,,,6.5,7.5,8.5,,,36.95,,,,23.25,,,7.5,,,,,
29039564,25,29,39564,,5.25,,,,4.0,5.25,5.5,,,20.0,,,,14.5,,,4.92,,,,,
29039565,25,29,39565,8.2,,6.25,6.75,,,,,,,21.2,21.2,,,,,,,,,,,
29039566,25,29,39566,7.8,9.0,,,,8.5,8.75,,,,34.05,,,,26.25,,,,,,,,
29039567,25,29,39567,9.4,,8.75,9.0,,,,,,,27.15,27.15,,,,,,,,,,,
29039568,25,29,39568,,6.75,,,,4.75,7.25,,,,18.75,,,,18.75,,,,,,,,
29039569,25,29,39569,8.8,8.25,8.75,2.75,4.75,,,,7.4,N1,40.7,20.3,24.95,16.3,,24.45,5.42,,22.3,25.8,18.95,40.7,
29039570,25,29,39570,,6.75,,,,4.5,7.5,,,,18.75,,,,18.75,,,,,,,,
29039571,25,29,39571,,7.0,,,,7.75,8.0,,,,22.75,,,,22.75,,,,,,,,
29039572,25,29,39572,7.2,8.75,,,,,,,6.4,N1,22.35,,,,,22.35,,,,,,,
29039573,25,29,39573,,7.5,,,,5.25,6.5,,,,19.25,,,,19.25,,,,,,,,
29039574,25,29,39574,8.4,,8.5,6.75,2.75,,,,,,26.4,23.65,,17.9,,,6.0,,19.65,,,,
29039575,25,29,39575,,9.25,,,,7.75,8.5,,,,25.5,,,,25.5,,,,,,,,
29039576,25,29,39576,7.8,8.25,,,,,,,,,16.05,,,,,,,,,,,,
29039577,25,29,39577,,6.75,,,,5.75,6.25,,,,18.75,,,,18.75,,,,,,,,
29039578,25,29,39578,6.4,9.25,,,,,,,4.6,N1,20.25,,,,,20.25,,,,,,,
29039579,25,29,39579,7.2,8.75,,,,,,,6.8,N1,22.75,,,,,22.75,,,,,,,
29039580,25,29,39580,8.2,7.25,,,,5.75,8.0,,7.4,N1,36.6,,,,21.0,22.85,,,,,,,
29039581,25,29,39581,,8.75,,,,7.25,6.25,,,,22.25,,,,22.25,,,,,,,,
29039582,25,29,39582,,,,,,,,,,,0.0,,,,,,,,,,,,
29039583,25,29,39583,4.2,6.75,,,,5.25,6.25,7.0,3.2,N1,32.65,,,,18.25,14.15,,6.17,,,,,32.65
29039584,25,29,39584,,8.0,,,,8.25,9.0,,,,25.25,,,,25.25,,,,,,,,
29039585,25,29,39585,7.8,7.0,,,,,7.5,,,,22.3,,,,,,,,,,,,
29039586,25,29,39586,,7.0,,,,7.5,8.25,,,,22.75,,,,22.75,,,,,,,,
29039587,25,29,39587,7.8,,7.0,7.25,2.75,,,,,,24.8,22.05,,17.8,,,5.67,,17.55,,,,
29039588,25,29,39588,8.0,9.0,,,,6.5,8.5,9.5,,,41.5,,,,24.0,,,8.17,,,,,
29039589,25,29,39589,5.2,6.75,,,,,,,,,11.95,,,,,,,,,,,,
29039590,25,29,39590,4.6,9.0,,,,8.75,9.75,,,,32.1,,,,27.5,,,,,,,,
29039591,25,29,39591,8.6,,8.5,8.25,2.5,,,,,,27.85,25.35,,19.35,,,6.42,,19.6,,,,
29039592,25,29,39592,8.4,,9.5,8.5,1.5,,,,,,27.9,26.4,,18.4,,,6.5,,19.4,,,,
29039593,25,29,39593,6.4,,8.0,6.0,,,,,,,20.4,20.4,,,,,,,,,,,
29039594,25,29,39594,5.8,,6.75,6.75,3.5,,,,,,22.8,19.3,,16.05,,,5.67,,16.05,,,,
29039595,25,29,39595,,8.75,,,,9.75,9.5,,,,28.0,,,,28.0,,,,,,,,
29039596,25,29,39596,8.0,,8.25,9.25,,,,,,,25.5,25.5,,,,,,,,,,,
29039597,25,29,39597,7.0,,7.0,8.0,,,,,,,22.0,22.0,,,,,,,,,,,
29039599,25,29,39599,8.2,9.5,,,,,9.0,,6.6,N1,33.3,,,,,24.3,,,,,,,
29039600,25,29,39600,8.0,9.5,,,,8.25,9.25,7.25,6.8,N1,49.05,,,,27.0,24.3,,8.25,,,,,49.05
29039601,25,29,39601,8.0,,7.0,5.75,3.25,,,,,,24.0,20.75,,17.0,,,5.33,,18.25,,,,
29039602,25,29,39602,,7.5,,,,5.5,,6.25,,,19.25,,,,,,,,,,,,
29039603,25,29,39603,8.4,,6.75,7.0,,,,,,,22.15,22.15,,,,,,,,,,,
29039604,25,29,39604,9.0,,9.75,9.25,4.5,,,,,,32.5,28.0,,22.75,,,7.83,,23.25,,,,
29039605,25,29,39605,,5.0,,,,6.0,5.75,,,,16.75,,,,16.75,,,,,,,,
29039607,25,29,39607,7.6,,7.75,7.25,,,,,,,22.6,22.6,,,,,,,,,,,
29039608,25,29,39608,7.8,,7.75,8.25,1.75,,,,,,25.55,23.8,,17.8,,,5.92,,17.3,,,,
29039610,25,29,39610,8.2,,8.5,7.25,2.0,,,,,,25.95,23.95,,17.45,,,5.92,,18.7,,,,
29039611,25,29,39611,8.8,,9.0,8.75,2.25,,,,,,28.8,26.55,,19.8,,,6.67,,20.05,,,,
29039612,25,29,39612,8.6,,9.0,8.25,,,,,,,25.85,25.85,,,,,,,,,,,
29039613,25,29,39613,8.4,,,,7.0,,,,,,15.4,,,,,,,,,,,,
29039614,25,29,39614,8.8,,7.75,8.75,,,,,,,25.3,25.3,,,,,,,,,,,
29039615,25,29,39615,3.8,6.25,,,,3.75,4.0,7.5,7.4,N1,32.7,,,,14.0,17.45,,5.08,,,,,32.7
29039616,25,29,39616,,7.25,,,,6.75,7.25,,,,21.25,,,,21.25,,,,,,,,
29039617,25,29,39617,8.2,,,,,,,,3.0,N1,11.2,,,,,,,,,,,,
29039618,25,29,39618,7.4,8.0,,,,,,,,,15.4,,,,,,,,,,,,
29039619,25,29,39619,8.0,8.5,,,,,,,,,16.5,,,,,,,,,,,,
29039620,25,29,39620,6.8,7.75,,,,,,,,,14.55,,,,,,,,,,,,
29039621,25,29,39621,6.8,8.0,,,,,,,6.8,N1,21.6,,,,,21.6,,,,,,,
29039622,25,29,39622,,8.0,,,,4.25,7.75,,,,20.0,,,,20.0,,,,,,,,
29039623,25,29,39623,8.8,,8.5,8.75,2.75,,,,,,28.8,26.05,,20.3,,,6.67,,20.05,,,,
29039624,25,29,39624,3.0,5.75,,,,3.75,4.0,6.75,5.4,N1,28.65,,,,13.5,14.15,,4.83,,,,,28.65
29039625,25,29,39625,,8.75,,,,9.0,9.25,9.5,,,36.5,,,,27.0,,,9.25,,,,,
29039626,25,29,39626,7.6,,5.75,5.25,,,,,,,18.6,18.6,,,,,,,,,,,
29039627,25,29,39627,9.0,,9.0,9.25,2.75,,,,,,30.0,27.25,,21.0,,,7.0,,20.75,,,,
29039629,25,29,39629,7.0,,,5.25,6.75,,,,,,19.0,,,19.0,,,,,,,,,
29039630,25,29,39630,8.8,,9.25,8.75,2.75,,,,,,29.55,26.8,,20.3,,,6.92,,20.8,,,,
29039631,25,29,39631,7.4,,7.75,5.75,,,,,,,20.9,20.9,,,,,,,,,,,
29039632,25,29,39632,7.2,,7.75,5.75,,,,,,,20.7,20.7,,,,,,,,,,,
29039633,25,29,39633,,8.75,,,,7.25,9.25,,,,25.25,,,,25.25,,,,,,,,
29039634,25,29,39634,8.6,,8.5,8.5,,,,,,,25.6,25.6,,,,,,,,,,,
29039635,25,29,39635,8.0,9.25,,,,8.25,,,7.6,N1,33.1,,,,,24.85,,,,,,,
29039636,25,29,39636,5.6,6.25,,,,7.0,2.25,5.75,4.2,N1,31.05,,,,15.5,16.05,,5.0,,,,,31.05
29039637,25,29,39637,8.4,,8.0,7.25,,,,,,,23.65,23.65,,,,,,,,,,,
29039638,25,29,39638,6.4,6.75,,,,6.0,6.0,,,,25.15,,,,18.75,,,,,,,,
29039639,25,29,39639,,8.0,,,,3.75,6.75,,,,18.5,,,,18.5,,,,,,,,
29039640,25,29,39640,6.4,,5.25,2.5,,,,,,,14.15,14.15,,,,,,,,,,,
29039641,25,29,39641,5.6,,7.0,5.0,4.25,,,,,,21.85,17.6,,14.85,,,5.42,,16.85,,,,
29039642,25,29,39642,7.6,,7.5,7.0,1.75,,,,,,23.85,22.1,,16.35,,,5.42,,16.85,,,,
29039643,25,29,39643,5.8,8.25,,,,7.0,7.5,,,,28.55,,,,22.75,,,,,,,,
29039644,25,29,39644,8.6,,8.0,7.0,,,,,,,23.6,23.6,,,,,,,,,,,
29039645,25,29,39645,,7.5,,,,7.75,9.0,9.0,,,33.25,,,,24.25,,,8.58,,,,,
29039646,25,29,39646,,7.25,,,,8.25,8.75,8.0,,,32.25,,,,24.25,,,8.33,,,,,
29039647,25,29,39647,9.2,,7.75,,,,,,6.8,N1,23.75,,23.75,,,,,,,,,,
29039648,25,29,39648,8.4,9.5,,,,9.25,,,,,27.15,,,,,,,,,,,,
29039649,25,29,39649,,5.25,,,,5.0,5.25,,,,15.5,,,,15.5,,,,,,,,
29039650,25,29,39650,7.6,,6.75,8.25,2.5,,,,,,25.1,22.6,,18.35,,,5.83,,16.85,,,,
29039651,25,29,39651,8.6,9.25,,,,,,,8.2,N1,26.05,,,,,26.05,,,,,,,
29039652,25,29,39652,,8.75,,,,9.25,9.75,,,,27.75,,,,27.75,,,,,,,,
29039653,25,29,39653,9.0,8.5,,,,,,,,,17.5,,,,,,,,,,,,
29039654,25,29,39654,,7.75,,,,8.75,9.0,,,,25.5,,,,25.5,,,,,,,,
29039655,25,29,39655,,8.5,,,,9.75,9.5,8.0,,,35.75,,,,27.75,,,9.08,,,,,
29039656,25,29,39656,1.8,5.0,,,,4.5,4.0,5.25,4.8,N1,25.35,,,,13.5,11.6,,4.58,,,,,25.35
29039657,25,29,39657,7.2,8.5,,,,,,,,,15.7,,,,,,,,,,,,
29039658,25,29,39658,7.6,,6.25,6.0,,,,,,,19.85,19.85,,,,,,,,,,,
29039659,25,29,39659,6.2,7.0,,,,,,,,,13.2,,,,,,,,,,,,
29039660,25,29,39660,6.8,,5.75,6.75,,,,,,,19.3,19.3,,,,,,,,,,,
29039661,25,29,39661,8.4,8.75,,,,,,,5.2,N1,22.35,,,,,22.35,,,,,,,
29039662,25,29,39662,8.0,,7.0,6.75,,,,,,,21.75,21.75,,,,,,,,,,,
29039663,25,29,39663,,8.75,,,,8.5,8.5,,,,25.75,,,,25.75,,,,,,,,
29039664,25,29,39664,7.2,7.0,,,,,,,,,14.2,,,,,,,,,,,,
29039665,25,29,39665,7.4,9.25,,,,,,,,,16.65,,,,,,,,,,,,
29039666,25,29,39666,5.4,8.75,,,,,,,2.2,N1,16.35,,,,,16.35,,,,,,,
29039667,25,29,39667,3.6,8.0,,,,3.0,,,,,14.6,,,,,,,,,,,,
29039668,25,29,39668,,7.25,,,,6.25,7.75,,,,21.25,,,,21.25,,,,,,,,
29039669,25,29,39669,,9.5,,,,8.25,8.5,,,,26.25,,,,26.25,,,,,,,,
29039670,25,29,39670,,8.25,,,,,7.75,,6.0,N1,22.0,,,,,,,,,,,,
29039671,25,29,39671,,7.25,,,,8.5,8.25,,,,24.0,,,,24.0,,,,,,,,
29039672,25,29,39672,7.6,,6.75,6.5,1.5,,,,,,22.35,20.85,,15.6,,,4.92,,15.85,,,,
29039673,25,29,39673,,5.0,,,,4.5,4.0,,,,13.5,,,,13.5,,,,,,,,
29039674,25,29,39674,,9.0,,,,7.75,9.25,,,,26.0,,,,26.0,,,,,,,,
29039675,25,29,39675,8.0,,,9.5,9.25,,,,,,26.75,,,26.75,,,,,,,,,
29039676,25,29,39676,8.0,,8.0,7.0,3.5,,,,,,26.5,23.0,,18.5,,,6.17,,19.5,,,,
29039677,25,29,39677,8.4,,8.5,5.75,,,,,6.8,N1,29.45,22.65,23.7,,,,,,,,20.95,,
29039678,25,29,39678,,5.5,,,,5.5,7.0,6.75,,,24.75,,,,18.0,,,6.42,,,,,
29039679,25,29,39679,9.2,,9.5,9.25,,,,,,,27.95,27.95,,,,,,,,,,,
29039680,25,29,39680,7.8,,7.5,7.25,2.5,,,,,,25.05,22.55,,17.55,,,5.75,,17.8,,,,
29039681,25,29,39681,7.6,,6.25,7.0,4.75,,,,,,25.6,20.85,,19.35,,,6.0,,18.6,,,,
29039682,25,29,39682,7.2,,5.75,3.5,,,,,,,16.45,16.45,,,,,,,,,,,
29039683,25,29,39683,7.8,,6.75,6.75,4.25,,,,,,25.55,21.3,,18.8,,,5.92,,18.8,,,,
29039684,25,29,39684,9.4,,9.0,9.25,3.0,,,,,,30.65,27.65,,21.65,,,7.08,,21.4,,,,
29039685,25,29,39685,,8.75,,,,9.5,8.75,9.25,,,36.25,,,,27.0,,,9.17,,,,,
29039686,25,29,39686,8.2,,8.5,8.25,3.75,,,,,,28.7,24.95,,20.2,,,6.83,,20.45,,,,
29039687,25,29,39687,7.4,8.5,,,,9.0,8.5,,,,33.4,,,,26.0,,,,,,,,
29039688,25,29,39688,,6.75,,,,6.0,7.25,,,,20.0,,,,20.0,,,,,,,,
29039689,25,29,39689,7.6,8.5,,,,,,,4.0,N1,20.1,,,,,20.1,,,,,,,
29039690,25,29,39690,8.0,9.0,,,,,,,,,17.0,,,,,,,,,,,,
29039691,25,29,39691,6.2,,7.25,8.0,2.25,,,,,,23.7,21.45,,16.45,,,5.83,,15.7,,,,
29039692,25,29,39692,8.6,,8.75,7.75,,,,,,,25.1,25.1,,,,,,,,,,,
29039693,25,29,39693,7.8,7.75,,,,,,,3.4,N1,18.95,,,,,18.95,,,,,,,
29039694,25,29,39694,7.0,6.75,,,,5.25,,,,,19.0,,,,,,,,,,,,
29039695,25,29,39695,7.8,8.75,,,,5.25,7.75,7.0,5.0,N1,41.55,,,,21.75,21.55,,6.67,,,,,41.55
29039696,25,29,39696,8.2,8.0,,,,,,,4.6,N1,20.8,,,,,20.8,,,,,,,
29039697,25,29,39697,8.4,8.75,,,,,,,5.4,N1,22.55,,,,,22.55,,,,,,,
29039698,25,29,39698,,6.5,,,,6.25,6.75,,,,19.5,,,,19.5,,,,,,,,
29039699,25,29,39699,,6.75,,,,8.0,7.25,,,,22.0,,,,22.0,,,,,,,,
29039700,25,29,39700,,6.5,,,,,5.5,7.25,,,19.25,,,,,,,,,,,,
29039701,25,29,39701,7.0,8.75,,,,,,,5.2,N1,20.95,,,,,20.95,,,,,,,
29039702,25,29,39702,6.2,8.5,,,,,,,3.2,N1,17.9,,,,,17.9,,,,,,,
29039703,25,29,39703,8.0,,7.5,8.0,,,,,,,23.5,23.5,,,,,,,,,,,
29039706,25,29,39706,,8.5,,,,6.25,8.0,,,,22.75,,,,22.75,,,,,,,,
29039707,25,29,39707,7.6,,8.25,7.25,,,,,,,23.1,23.1,,,,,,,,,,,
29039708,25,29,39708,,6.75,,,,5.75,6.75,,,,19.25,,,,19.25,,,,,,,,
29039709,25,29,39709,,9.25,,,,7.75,6.75,,,,23.75,,,,23.75,,,,,,,,
29039710,25,29,39710,8.4,8.25,,,,,,,8.6,N1,25.25,,,,,25.25,,,,,,,
29039711,25,29,39711,8.0,,7.25,,,,,,7.6,N1,22.85,,22.85,,,,,,,,,,
29039712,25,29,39712,4.4,7.75,,,,,,,5.6,N1,17.75,,,,,17.75,,,,,,,
29039713,25,29,39713,8.2,8.5,,,,,,,8.6,N1,25.3,,,,,25.3,,,,,,,
29039714,25,29,39714,8.0,8.5,,,,,,,5.8,N1,22.3,,,,,22.3,,,,,,,
29039715,25,29,39715,7.6,9.5,,,,8.0,,,3.8,N1,28.9,,,,,20.9,,,,,,,
29039717,25,29,39717,2.6,7.5,,,,5.0,5.75,,3.4,N1,24.25,,,,18.25,13.5,,,,,,,
29039718,25,29,39718,6.4,9.25,,,,,,,7.0,N1,22.65,,,,,22.65,,,,,,,
29039719,25,29,39719,6.4,8.75,,,,5.5,7.25,8.75,6.6,N1,43.25,,,,21.5,21.75,,7.17,,,,,43.25
29039720,25,29,39720,,7.75,,,,6.5,6.75,,3.4,N1,24.4,,,,21.0,,,,,,,,
29039721,25,29,39721,7.2,,,6.5,6.75,,,,,,20.45,,,20.45,,,,,,,,,
